หมวดหมู่ตัวชี้วัดหลัก,ลำดับ,เป้าหมายย่อยที่,ชื่อตัวชี้วัด,เป้าหมาย SDG ปี 2573,หน่วยวัด,ผลการดำเนินงานปัจจุบัน (68),หน่วยงานที่รับผิดชอบ,ปีที่รายงาน,หมายเหตุ,Timestamp
SDGs,1, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"3.3.1 จำนวนผู้ติดเชื้อ HIV รายใหม่ต่อประชากรที่ไม่มีการติดเชื้อ 1,000 คน ",≤ 0.2,"คน (ต่อประชากร ที่ไม่มีการติดเชื้อ 1,000 คน)",0.13,กองโรคเอดส์และโรคติดต่อทางเพศสัมพันธ์,2568,ข้อมูล ณ 67,"24/3/2026, 12:08:09"
SDGs,2, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"3.3.2 อุบัติการณ์ของวัณโรคต่อประชากร 100,000 คน",≤ 20,"อัตรา  (ต่อประชากร 100,000 คน)",146,กองวัณโรค,2568,ข้อมูล ณ 67,"24/3/2026, 12:10:20"
SDGs,3, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"3.3.3 อัตราการเกิดโรคมาลาเรียต่อประชากร 1,000 คน ต่อปี",≤ 0.006,"อัตรา (ต่อประชากร 1,000 คน)",0.23,กองโรคติดต่อนำโดยแมลง,2568,,"24/3/2026, 12:11:41"
SDGs,4, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"3.3.4 จำนวนของผู้ติดเชื้อไวรัสตับอักเสบบีต่อประชากร 100,000 คน 
ชุดข้อมูล ""จำนวนผู้ติดเชื้อไวรัสตับอักเสบบีรายใหม่ต่อประชากรแสนคนในแต่ละปีงบประมาณ""",ลดลงร้อยละ 10  จากปีที่ผ่านมา,"คน (ต่อประชากร 100,000 คน)",-,กองโรคเอดส์และโรคติดต่อทางเพศสัมพันธ์,2568,อยู่ระหว่างการจัดทำคาดการณ์ผู้ติดเชื้อ,"24/3/2026, 12:12:33"
SDGs,5, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคไข้เลือดออก
ตัวชี้วัด: อัตราป่วยโรคไข้เลือดออก ",ร้อยละ 20,ร้อยละ,24.82,กองโรคติดต่อนำโดยแมลง,2568,น้อยกว่าค่ามัธยฐานย้อนหลัง 5 ปี,"24/3/2026, 12:29:35"
SDGs,6, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคไข้ปวดข้อยุงลาย
ตัวชี้วัด: จำนวนผู้ป่วยโรคไข้ปวดข้อยุงลาย",ลดลงร้อยละ 50 จากปีที่ผ่านมา,คน ,8.31,กองโรคติดต่อนำโดยแมลง,2568,เมื่อเทียบกับปีที่ผ่านมา,"24/3/2026, 12:41:02"
SDGs,7, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคลิชมาเนีย (Leishmaniasis) 
ตัวชี้วัด :  อุบัติการณ์พบผู้ป่วยโรคลิซมาเนียชนิด visceral รายใหม่ระดับอำเภอ ",< 1,อัตรา,0.01,กองโรคติดต่อนำโดยแมลง,2568,"0.01-0.60 : 10,000 ประชากร","24/3/2026, 12:46:57"
SDGs,8, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคเท้าช้าง (Lymphatic filariasis) 
ตัวชี้วัด : อัตราการพบแอนติเจน โรคเท้าช้าง น้อยกว่า 1%
หมายเหตุ : AGR = Antigen rate อัตราการตรวจพบแอนติเจนโรคเท้าช้าง
MPR = Microfilaria positive rate อัตราการตรวจพบพยาธิโรคเท้าช้าง",< 1%,ร้อยละ,0,กองโรคติดต่อนำโดยแมลง,2568,,"24/3/2026, 12:47:48"
SDGs,9, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคเท้าช้าง (Lymphatic filariasis) 
ตัวชี้วัด : อัตราการพบพยาธิโรคเท้าช้าง น้อยกว่า 1%
หมายเหตุ : AGR = Antigen rate อัตราการตรวจพบแอนติเจนโรคเท้าช้าง
MPR = Microfilaria positive rate อัตราการตรวจพบพยาธิโรคเท้าช้าง",<1%,ร้อยละ,0.48,กองโรคติดต่อนำโดยแมลง,2568,,"24/3/2026, 13:12:14"
SDGs,10, 3.3 ยุติการแพร่กระจายของเอดส์ วัณโรค มาลาเรีย และโรคเขตร้อนที่ถูกละเลย และต่อสู้กับโรคตับอักเสบ โรคติดต่อทางน้ำ และโรคติดต่ออื่นๆ ภายในปี พ.ศ. 2573,"โรคพิษสุขนัขบ้า
ตัวชี้วัด : ร้อยละของผู้สัมผัสโรคพิษสุขนัขบ้าที่ได้รับวัคซีนตามแนวทางเวชปฏิบัติ",ร้อยละ 100,ร้อยละ,100,สถาบันราชประชาสมาสัย,2568,,"24/3/2026, 13:13:01"
